MatchID,StadiumID,Stadium,HomeTeam,RNScore,Overs,Wickets,Output
1304048,58317,165,0,48,5.1,0,89
1304048,58317,165,0,48,5.2,0,89
1304048,58317,165,0,48,5.3,0,89
1304048,58317,165,0,48,5.4,0,89
1304048,58317,165,0,52,5.5,0,89
1304048,58317,165,0,53,6,0,89
1304048,58317,165,0,54,6.1,0,89
1304048,58317,165,0,55,6.2,0,89
1304048,58317,165,0,55,6.3,0,89
1304048,58317,165,0,56,6.4,0,89
1304048,58317,165,0,56,6.5,0,89
1304048,58317,165,0,56,7,0,89
1304048,58317,165,0,57,7.1,0,89
1304048,58317,165,0,58,7.2,0,89
1304048,58317,165,0,59,7.3,0,89
1304048,58317,165,0,60,7.4,0,89
1304048,58317,165,0,64,7.5,0,89
1304048,58317,165,0,65,8,0,89
1304048,58317,165,0,67,8.1,0,89
1304048,58317,165,0,67,8.2,1,89
1304048,58317,165,0,67,8.3,1,89
1304048,58317,165,0,68,8.4,1,89
1304048,58317,165,0,69,8.5,1,89
1304048,58317,165,0,69,9,1,89
1304048,58317,165,0,70,9.1,1,89
1304048,58317,165,0,71,9.2,1,89
1304048,58317,165,0,75,9.3,1,89
1304048,58317,165,0,76,9.4,1,89
1304048,58317,165,0,78,9.5,1,89
1304048,58317,165,0,79,10,1,89
1304048,58317,165,0,80,10.1,1,89
1304048,58317,165,0,81,10.2,1,89
1304048,58317,165,0,83,10.3,1,89
1304048,58317,165,0,83,10.4,2,89
1304048,58317,165,0,84,10.5,2,89
1304048,58317,165,0,85,11,2,89
1304048,58317,165,0,86,11.1,2,89
1304048,58317,165,0,87,11.2,2,89
1304048,58317,165,0,88,11.3,2,89
1304048,58317,165,0,90,11.4,2,89
1304048,58317,165,0,90,11.5,2,89
1304048,58317,165,0,91,12,2,89
1304048,58317,165,0,91,12.1,2,89
1304048,58317,165,0,91,12.2,2,89
1304048,58317,165,0,95,12.3,2,89
1304048,58317,165,0,99,12.4,2,89
1304048,58317,165,0,100,12.5,2,89
1304048,58317,165,0,104,13,2,89
1304048,58317,165,0,105,13.1,2,89
1304048,58317,165,0,105,13.2,2,89
1304048,58317,165,0,106,13.3,2,89
1304048,58317,165,0,108,13.4,2,89
1304048,58317,165,0,109,13.5,2,89
1304048,58317,165,0,113,14,2,89
1304048,58317,165,0,117,14.1,2,89
1304048,58317,165,0,117,14.2,3,89
1304048,58317,165,0,117,14.3,3,89
1304048,58317,165,0,117,14.4,3,89
1304048,58317,165,0,118,14.5,3,89
1304048,58317,165,0,118,15,3,89
1304048,58317,165,0,119,15.1,3,89
1304048,58317,165,0,120,15.2,3,89
1304048,58317,165,0,121,15.3,3,89
1304048,58317,165,0,122,15.4,3,89
1304048,58317,165,0,122,15.5,4,89
1304048,58317,165,0,123,16,4,89
1304048,58317,165,0,124,16.1,4,89
1304048,58317,165,0,130,16.2,4,89
1304048,58317,165,0,131,16.3,4,89
1304048,58317,165,0,132,16.4,4,89
1304048,58317,165,0,136,16.5,4,89
1304048,58317,165,0,137,17,4,89
1304048,58317,165,0,137,17.1,4,89
1304048,58317,165,0,138,17.2,4,89
1304048,58317,165,0,139,17.3,4,89
1304048,58317,165,0,140,17.4,4,89
1304048,58317,165,0,142,17.5,4,89
1304048,58317,165,0,148,18,4,89
1304048,58317,165,0,152,18.1,4,89
1304048,58317,165,0,154,18.2,4,89
1304048,58317,165,0,158,18.3,4,89
1304048,58317,165,0,159,18.4,4,89
1304048,58317,165,0,159,18.5,4,89
1304048,58317,165,0,159,19,5,89
1304048,58317,165,0,160,19.1,5,89
1304048,58317,165,0,166,19.2,5,89
1304048,58317,165,0,167,19.2,5,89
1304048,58317,165,0,168,19.3,5,89
1304048,58317,165,0,172,19.4,5,89
1304048,58317,165,0,176,19.5,5,89
1304048,58317,165,0,177,20,5,89
1304048,58317,165,0,0,0.1,0,98
1304048,58317,165,0,0,0.2,0,98
1304048,58317,165,0,1,0.3,0,98
1304048,58317,165,0,5,0.4,0,98
1304048,58317,165,0,6,0.4,0,98
1304048,58317,165,0,10,0.5,0,98
1304048,58317,165,0,11,1,0,98
1304048,58317,165,0,12,1,0,98
1304048,58317,165,0,12,1.1,0,98
1304048,58317,165,0,12,1.2,0,98
1304048,58317,165,0,16,1.3,0,98
1304048,58317,165,0,16,1.4,0,98
1304048,58317,165,0,20,1.5,0,98
1304048,58317,165,0,21,2,0,98
1304048,58317,165,0,21,2.1,0,98
1304048,58317,165,0,24,2.2,0,98
1304048,58317,165,0,24,2.3,0,98
1304048,58317,165,0,30,2.4,0,98
1304048,58317,165,0,30,2.5,0,98
1304048,58317,165,0,30,3,0,98
1304048,58317,165,0,30,3.1,0,98
1304048,58317,165,0,30,3.2,0,98
1304048,58317,165,0,30,3.3,1,98
1304048,58317,165,0,30,3.4,1,98
1304048,58317,165,0,30,3.5,2,98
1304048,58317,165,0,31,4,2,98
1304048,58317,165,0,31,4.1,3,98
1304048,58317,165,0,32,4.1,3,98
1304048,58317,165,0,33,4.2,3,98
1304048,58317,165,0,39,4.3,3,98
1304048,58317,165,0,39,4.4,3,98
1304048,58317,165,0,40,4.5,3,98
1304048,58317,165,0,40,5,3,98
1304048,58317,165,0,40,5.1,3,98
1304048,58317,165,0,41,5.2,3,98
1304048,58317,165,0,41,5.3,3,98
1304048,58317,165,0,41,5.4,3,98
1304048,58317,165,0,42,5.5,3,98
1304048,58317,165,0,46,6,3,98
